student_id,gender,school,grades,attendance,test_scores,final_grades
1,male,schoolA,0.75,0.9,0.85,A
2,male,schoolB,0.62,0.8,0.7,B
3,female,schoolA,0.9,0.95,0.95,A
4,male,schoolB,0.5,0.7,0.6,C
5,female,schoolA,0.8,0.85,0.75,B
6,female,schoolB,0.65,0.95,0.8,B
7,male,schoolA,0.7,0.8,0.7,C
8,female,schoolB,0.9,0.95,0.95,A
9,male,schoolA,0.75,0.8,0.85,B
10,female,schoolB,0.6,0.7,0.65,C
11,male,schoolA,0.65,0.9,0.75,B
12,female,schoolB,0.7,0.8,0.7,C
13,male,schoolA,0.75,0.9,0.8,B
14,female,schoolB,0.6,0.75,0.65,C
15,male,schoolA,0.7,0.9,0.8,B
16,female,schoolB,0.6,0.7,0.65,C
17,male,schoolA,0.8,0.9,0.85,A
18,female,schoolB,0.7,0.8,0.75,B
19,male,schoolA,0.9,0.95,0.95,A
20,female,schoolB,0.6,0.7,0.65,C
